,Administrative_Area,geodata_coordinates
361,Czentral`ny'j administrativny'j okrug,"[37.649046, 55.768248]"
362,Czentral`ny'j administrativny'j okrug,"[37.6571565, 55.7610338]"
363,Czentral`ny'j administrativny'j okrug,"[37.6580268, 55.7569598]"
364,Czentral`ny'j administrativny'j okrug,"[37.6102521, 55.7301022]"
365,Czentral`ny'j administrativny'j okrug,"[37.5465367, 55.748965]"
366,Czentral`ny'j administrativny'j okrug,"[37.5706888, 55.7615452]"
367,Czentral`ny'j administrativny'j okrug,"[37.5605165, 55.7540692]"
368,Czentral`ny'j administrativny'j okrug,"[37.546261, 55.764887]"
369,Czentral`ny'j administrativny'j okrug,"[37.5830376, 55.7770608]"
370,Czentral`ny'j administrativny'j okrug,"[37.5728133, 55.7403289]"
371,Zapadny'j administrativny'j okrug,"[37.5340619, 55.7396177]"
372,Czentral`ny'j administrativny'j okrug,"[37.5683739, 55.7371931]"
373,Czentral`ny'j administrativny'j okrug,"[37.6231799, 55.7290315]"
374,Yugo-Zapadny'j administrativny'j okrug,"[37.572725, 55.6880358]"
375,Yugo-Zapadny'j administrativny'j okrug,"[37.573843, 55.687648]"
376,Severo-Zapadny'j administrativny'j okrug,"[37.506187, 55.776742]"
377,Severo-Vostochny'j administrativny'j okrug,"[37.6011372, 55.8142078]"
378,Severo-Vostochny'j administrativny'j okrug,"[37.589078, 55.8218449]"
379,Vostochny'j administrativny'j okrug,"[37.714144, 55.794816]"
380,Vostochny'j administrativny'j okrug,"[37.7188593, 55.7829536]"
381,Vostochny'j administrativny'j okrug,"[37.705593, 55.7819567]"
382,Yugo-Vostochny'j administrativny'j okrug,"[37.6763299, 55.717707]"
383,Czentral`ny'j administrativny'j okrug,"[37.6531291, 55.7390591]"
384,Czentral`ny'j administrativny'j okrug,"[37.6606868, 55.7301414]"
385,Yuzhny'j administrativny'j okrug,"[37.657647, 55.7082873]"
386,Czentral`ny'j administrativny'j okrug,"[37.665312, 55.7323179]"
387,Yugo-Vostochny'j administrativny'j okrug,"[37.664271, 55.7311383]"
388,Czentral`ny'j administrativny'j okrug,"[37.670731, 55.725931]"
389,Yugo-Vostochny'j administrativny'j okrug,"[37.6639974, 55.7232251]"
390,Yugo-Vostochny'j administrativny'j okrug,"[37.6663363, 55.7110537]"
391,Czentral`ny'j administrativny'j okrug,"[37.65628, 55.735005]"
392,Yuzhny'j administrativny'j okrug,"[37.6637295, 55.7170746]"
393,Czentral`ny'j administrativny'j okrug,"[37.6699924, 55.7394363]"
394,Czentral`ny'j administrativny'j okrug,"[37.660106999999996, 55.76547]"
395,Czentral`ny'j administrativny'j okrug,"[37.684929, 55.768817]"
396,Czentral`ny'j administrativny'j okrug,"[37.6698876, 55.7655969]"
397,Czentral`ny'j administrativny'j okrug,"[37.692317, 55.775968]"
398,Czentral`ny'j administrativny'j okrug,"[37.6101276, 55.7464818]"
399,Czentral`ny'j administrativny'j okrug,"[37.632794, 55.749635]"
400,Czentral`ny'j administrativny'j okrug,"[37.6386809, 55.7478923]"
401,Czentral`ny'j administrativny'j okrug,"[37.596613, 55.769393]"
402,Czentral`ny'j administrativny'j okrug,"[37.6043076, 55.7657169]"
403,Czentral`ny'j administrativny'j okrug,"[37.5943833, 55.7712466]"
404,Czentral`ny'j administrativny'j okrug,"[37.5977164, 55.7434021]"
405,Czentral`ny'j administrativny'j okrug,"[37.605304, 55.738605]"
406,Czentral`ny'j administrativny'j okrug,"[37.610879, 55.7390438]"
407,Czentral`ny'j administrativny'j okrug,"[37.6195157, 55.7362414]"
408,Czentral`ny'j administrativny'j okrug,"[37.620018, 55.73218]"
409,Czentral`ny'j administrativny'j okrug,"[37.5916535, 55.7724933]"
410,Czentral`ny'j administrativny'j okrug,"[37.5757323, 55.7460166]"
411,Zapadny'j administrativny'j okrug,"[37.4960883, 55.6967984]"
412,Yugo-Vostochny'j administrativny'j okrug,"[37.6878922, 55.7246532]"
413,Yuzhny'j administrativny'j okrug,"[37.7456143, 55.6137016]"
414,Yuzhny'j administrativny'j okrug,"[37.7434632, 55.6220611]"
415,Yuzhny'j administrativny'j okrug,"[37.7426075, 55.626515]"
416,Yuzhny'j administrativny'j okrug,"[37.7022624, 55.622981]"
417,Yuzhny'j administrativny'j okrug,"[37.6946714, 55.6141672]"
418,Severny'j administrativny'j okrug,"[37.5548583, 55.8712028]"
419,Severny'j administrativny'j okrug,"[37.5713646, 55.8647675]"
420,Severny'j administrativny'j okrug,"[37.5504943, 55.8736631]"
421,Severny'j administrativny'j okrug,"[37.5660673, 55.8818528]"
422,Severo-Vostochny'j administrativny'j okrug,"[37.609836, 55.78921]"
423,Czentral`ny'j administrativny'j okrug,"[37.57995, 55.74603]"
424,Zapadny'j administrativny'j okrug,"[37.48227, 55.70524]"
425,Severny'j administrativny'j okrug,"[37.57197, 55.83351]"
426,Severo-Vostochny'j administrativny'j okrug,"[37.57578, 55.84592]"
427,Severny'j administrativny'j okrug,"[37.56728, 55.84727]"
428,Severo-Zapadny'j administrativny'j okrug,"[37.4931, 55.79296]"
429,Yugo-Vostochny'j administrativny'j okrug,"[37.71587, 55.75161]"
430,Yugo-Vostochny'j administrativny'j okrug,"[37.72517, 55.64333]"
431,Yugo-Vostochny'j administrativny'j okrug,"[37.79355, 55.63972]"
432,Yuzhny'j administrativny'j okrug,"[37.66486, 55.6769]"
433,Yuzhny'j administrativny'j okrug,"[37.64927, 55.65539]"
434,Yuzhny'j administrativny'j okrug,"[37.66384, 55.64928]"
435,Yuzhny'j administrativny'j okrug,"[37.76707, 55.6319]"
436,Severny'j administrativny'j okrug,"[37.53481, 55.88628]"
437,Severo-Vostochny'j administrativny'j okrug,"[37.60077, 55.8846]"
438,Severo-Vostochny'j administrativny'j okrug,"[37.63073, 55.80808]"
439,Severny'j administrativny'j okrug,"[37.55928, 55.85763]"
440,Czentral`ny'j administrativny'j okrug,"[37.59272, 55.77937]"
441,Czentral`ny'j administrativny'j okrug,"[37.56245, 55.7637]"
